Species,Samples
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
Myri_ocul,S4
